Epoch: [RMSE Score] [CRPS Score]
1, [93.01206403 17.97922691 13.81163329 11.23116449], [50.98479459 10.99079796  8.4792512   6.77118283] 
2, [89.59477294 17.57328033 12.61461386 10.27971036], [51.62014928 10.82670236  8.0775805   6.2726685 ] 
3, [85.15041173  9.3879916   5.3722807   4.91280073], [46.56543159  5.47860639  3.16058786  2.8782411 ] 
4, [84.4433998   7.53198609  6.55980917  5.62748606], [44.53616783  4.38590963  3.91777595  3.1931646 ] 
5, [86.06753491  8.71164662  8.01353557  6.1020929 ], [45.58826142  5.69346045  5.52788828  3.57497495] 
6, [85.11897013  7.15811674  3.81616398  4.05890128], [43.23928069  4.17493516  2.46729643  2.33894387] 
7, [86.21396398  4.29713712  4.0568976   4.06412173], [46.52068935  2.47230033  2.32743804  2.25974266] 
8, [82.51476814  3.8018306   7.77766719  5.42417301], [42.59372322  2.17886987  4.9398141   3.10122048] 
9, [83.31183732  4.72528147  3.2783916   3.98454657], [42.0922587   2.73855631  1.9690556   2.21014688] 
10, [84.74402957  9.99311887  3.59456891  5.75556414], [47.77816884  5.8749801   2.16490166  3.45345218] 
11, [80.40699212  7.06400125 10.39930885  7.60339364], [40.98865872  4.07585736  6.75971172  4.57096772] 
12, [76.23998578  5.43649704  3.16065933  3.83925856], [39.301199    3.35155534  1.98907246  2.17256984] 
13, [79.40223209  4.28271046  3.33955875  4.75844539], [39.57957879  2.45048623  1.88961382  2.64714915] 
14, [77.84372602  4.00593367  3.12236904  3.68279539], [39.40312356  2.30785441  1.78933777  2.03468329] 
15, [73.1926043   3.91035671  3.45245989  4.86484203], [36.69976564  2.2876444   2.13663196  2.80325124] 
16, [79.13252667  4.18339723  3.65895041  3.59998425], [39.87503137  2.36494692  2.12076843  2.04003966] 
17, [77.20291502  5.39554358  4.95541621  6.85468889], [40.85030473  3.2854724   3.01963785  4.79296213] 
18, [73.32217081  3.4361317   2.81595671  3.06119438], [38.50279619  1.93295798  1.5966724   1.72907603] 
19, [80.65580871  3.40817749  3.26788155  3.78629061], [39.64852677  2.18552361  2.02876385  2.17608085] 
20, [76.74778666  5.12742302  2.66719093  4.7444039 ], [38.83492296  3.0861365   1.4965282   2.92822743] 
21, [79.52977496  3.75490095  2.62427249  2.83733317], [40.08656392  2.11165136  1.54410157  1.64423219] 
22, [77.17735981  3.39265055  2.67068598  3.79580806], [39.22104477  2.06959457  1.55400944  2.18967011] 
23, [74.4350729   3.50716063  2.88513641  3.40342953], [38.50431581  2.04569773  1.6681276   1.8755864 ] 
24, [72.97336739  3.30154086  3.45001387  3.20124082], [37.20401327  1.94150259  1.9894071   2.00768013] 
25, [77.70048612  4.49384904  2.17294036  3.21024244], [39.33080887  2.64824935  1.24084401  1.77507548] 
26, [76.10156705  3.48547942  2.92370513  4.38143263], [42.22225106  1.96141012  1.67364811  2.629744  ] 
27, [73.50937529  3.45175411 10.467775    3.88902799], [37.87293472  1.95951176  7.62278939  2.1887728 ] 
28, [72.26959514  3.67311008  3.39069924  3.35535669], [36.42739324  2.07324652  1.96086541  1.85675515] 
29, [73.5529768   3.84252369  3.35191777  3.55890035], [37.24944065  2.14581208  1.91655124  2.00116721] 
30, [76.31781791  3.95168245  6.26929331  3.98620345], [38.58736757  2.19583028  4.02457827  2.27012102] 
31, [76.87956589  4.88173357  2.30156903  2.94521706], [38.28237151  2.86481929  1.32809311  1.65167187] 
32, [70.87779384  4.04965653  2.87114832  3.04509262], [36.03881684  2.30976324  1.81243319  1.676247  ] 
33, [73.37624321  4.17529067  3.65897573  3.04645546], [36.53086686  2.43333783  2.1077484   1.67206775] 
34, [72.52819834  3.66256176  3.88809159  3.52755086], [36.32148959  1.98126217  2.38042464  1.96919181] 
35, [77.53594439  3.49697214  8.41221947  3.58082506], [38.7966918   1.93204203  6.19096194  1.96935335] 
36, [73.88485778  3.97628589  2.739103    4.44898505], [37.34011166  2.29744843  1.61898185  2.81953131] 
37, [71.74047403  3.9805882   2.46972168  3.32912868], [35.97093903  2.30553423  1.45355097  1.86122185] 
38, [73.05126918  3.89169043  2.16943644  3.07832181], [36.32762119  2.19923428  1.25070171  1.75670065] 
39, [74.28379679  3.75057023  2.61959613  2.99269325], [37.70490399  2.10838494  1.53270445  1.6422939 ] 
40, [75.46129325  4.00643621  2.35321884  3.03845309], [38.03189086  2.24212927  1.35867546  1.63268343] 
41, [73.67574059  3.89353188  2.4945243   3.02504837], [36.8601464   2.19038514  1.42933546  1.65326041] 
42, [71.16839022  3.42216878  3.28212236  3.2481749 ], [35.78110805  1.82761707  1.93220751  1.78496386] 
43, [72.28932127  3.49830019  3.33543598  3.1640506 ], [36.71568848  1.85873286  1.91273737  1.72374815] 
44, [73.32323347  3.55389863  2.12664349  3.12384703], [36.42362081  1.94377926  1.23148041  1.67355313] 
45, [78.27850805  3.90931198  2.50892565  3.38032877], [39.7939252   2.23371337  1.46003246  1.88863798] 
