Epoch: [RMSE Score] [CRPS Score]
1, [97.76074956 18.55068808 14.57483961 12.45931648], [55.20042769 11.71733595  9.15850846  7.71167428] 
2, [96.29035887 18.86393211 15.17710782 12.44182134], [54.59587653 12.4481955   9.83204746  7.91284684] 
3, [94.37279979 10.62968054  7.21768283  7.09134825], [53.15780455  6.00548423  4.16338403  4.03805252] 
4, [88.11487303  4.91189508  4.51785052  4.56105111], [46.72389188  3.08687121  2.64775197  2.54864987] 
5, [82.28668793  4.83934127  4.16819243  4.41801825], [42.65519376  2.77580203  2.4637625   2.49556849] 
6, [78.29397679  7.23434588  4.2844377   4.02091081], [41.48852337  4.13969536  2.4004095   2.27190559] 
7, [80.13295724  5.78053052  4.58579892  4.13442812], [43.44575986  3.23422722  2.7084118   2.31597533] 
8, [79.62495417  4.91101526  3.62346278  4.12614958], [40.76660962  2.66173649  2.07876685  2.27719074] 
9, [82.98878757  4.48891151  3.75047805  4.4750768 ], [42.32472735  2.53709534  2.13173324  2.46451151] 
10, [83.84886078  4.56943762  4.04967323  4.50295069], [43.17161381  2.56819888  2.30771182  2.47121743] 
11, [82.3864054   4.4410088   3.65302288  4.17018261], [43.98416414  2.46258697  2.04450609  2.29233403] 
12, [82.52666585  5.22638432  3.52292074  4.27415187], [43.89458424  2.97727391  1.9958382   2.37557029] 
13, [82.69681148  4.71424039  3.67502005  5.18084089], [44.41256052  2.73528113  2.15943957  2.93890558] 
14, [82.72322286  3.92406083  3.36122874  4.29536877], [43.78527693  2.21182951  1.94478953  2.43242851] 
15, [84.4463028   3.78639711  3.33148686  3.53521313], [46.44545135  2.16700897  1.87675063  1.99148217] 
16, [82.04414068  6.26950457  3.64974741  3.46198952], [42.16683576  3.56859383  2.04235693  1.88855911] 
17, [80.83112963  3.78637073  3.73538348  3.23546373], [43.41102214  2.10697134  2.12844855  1.75631548] 
18, [80.95225375  3.6201066   3.34131549  3.57277633], [41.51185848  1.99942282  1.84774662  1.97356438] 
19, [79.66808065  4.69119563  3.35205101  3.42260249], [41.54627837  2.87319441  1.86406446  1.86940668] 
20, [80.30548557  3.43772367  2.97104501  3.46378712], [41.32052063  1.98811388  1.64619337  1.87936493] 
21, [78.06435242  3.539212    3.16520961  3.29160183], [40.74366934  1.93217382  1.75135545  1.80459589] 
22, [77.57408489  3.91677969  2.86549026  3.54152843], [39.78627104  2.04978265  1.61297526  1.91169809] 
23, [79.25478616  3.38839508  2.79875631  3.81365526], [41.00262412  1.83044192  1.55489     2.23770687] 
24, [77.05267954  3.58965764  2.77829049  3.30958681], [40.11462886  1.96470541  1.56777442  1.79871152] 
25, [75.05901676  3.22876559  3.39904719  3.80394122], [38.93300414  1.76355789  1.93811347  2.13544246] 
26, [76.88413641  3.46087327  3.09372812  3.83191607], [39.77658356  1.85972487  1.75431171  2.20929736] 
27, [79.85571916  3.19278593  2.83435485  3.21803321], [40.41891314  1.71435154  1.56678579  1.77292649] 
28, [79.43587991  3.80164049  3.06778708  3.25253694], [41.72602283  2.04604875  1.77838276  1.80439517] 
