Epoch: [RMSE Score] [CRPS Score]
1, [90.80230869 12.68086617  9.52923048  8.74561688], [50.0573317   7.394154    5.52056504  5.08540402] 
2, [90.32559246 12.26633203  9.20939448  8.43613055], [49.68425932  7.15652216  5.3495401   4.89520623] 
3, [89.67103604  6.88945547  6.66325917  5.96901404], [48.31083593  4.01510448  3.83133557  3.43453432] 
4, [88.15580377  5.55996302  5.13037461  4.81169264], [46.80065421  3.16360005  2.96872994  2.76381629] 
5, [89.57585145  7.65900415  7.19983267  5.95037783], [47.43415563  4.40371355  4.13814731  3.36574861] 
6, [83.15755737  6.65906223  7.09001474  4.81259752], [43.28174175  4.01477694  4.17460496  2.74615156] 
7, [85.98880625  5.74617144  6.01388466  5.44183786], [43.8910917   3.34467099  3.4295746   3.10454099] 
8, [79.216198    6.06836327  4.87997388  5.22540735], [41.14303554  3.60767247  2.83033627  2.97672826] 
9, [81.52759276  4.99404381  4.34320809  4.46346094], [41.84054146  2.98181905  2.45943773  2.51493154] 
10, [75.11271786  4.94643098  4.63166346  4.48082903], [40.57577473  2.85418273  2.72304662  2.54104889] 
11, [82.62081877  5.08694536  4.38249533  4.73222135], [41.62994501  2.99398563  2.49371536  2.67422256] 
12, [73.65221396  5.47305485  3.91968653  4.33987199], [37.80190739  3.22264125  2.22575622  2.45209208] 
13, [72.29977687  5.0653706   4.16331221  4.20917448], [40.1612661   2.9663522   2.35241564  2.37107873] 
14, [79.84871108  4.98910087  4.42299213  5.2079766 ], [40.57776346  2.81135384  2.50688762  2.94934469] 
15, [77.76843594  5.01442059  5.5664146   5.08657483], [40.47607586  2.86353145  3.25555067  2.87953518] 
16, [75.28066047  5.01681961  4.43014705  4.66257419], [39.58518702  2.85536215  2.6892606   2.63138994] 
17, [77.92296028  4.83050393  3.68741936  4.56486064], [40.74290823  2.79732618  2.11823555  2.58776323] 
18, [75.22585282  5.08146899  3.25946331  4.63368759], [40.13373653  2.98411309  1.85151223  2.64803331] 
19, [75.89475891  4.7971445   3.16676901  4.56228296], [39.83093119  2.76166503  1.83108831  2.55146282] 
20, [70.69326194  4.48584282  3.41706415  4.79751757], [37.85332365  2.51579333  1.9504201   2.73049452] 
21, [72.6951409   4.84198206  3.45272479  4.57457594], [38.63891384  2.76821501  1.96376629  2.62475264] 
22, [75.85290445  4.39667552  3.14516852  4.47283117], [38.40059386  2.48090459  1.79049227  2.55550065] 
23, [74.61490619  4.06328041  2.91140154  4.80919868], [39.27410288  2.34075755  1.66586111  2.7514446 ] 
24, [71.69764986  4.38107377  3.57838254  3.70839594], [38.64713003  2.48122312  2.08448629  2.07151381] 
25, [68.11192463  3.85036541  3.2872236   4.51962889], [36.34778503  2.14335816  1.89150936  2.54847149] 
26, [71.14462025  3.75418872  2.65133754  4.0528941 ], [37.81894126  2.0957631   1.49573239  2.31156268] 
27, [81.8881162   3.77906012  2.9969865   4.28603051], [40.77922297  2.09305434  1.71592028  2.49747176] 
28, [73.3814345   4.33084741  2.77540077  3.88757705], [36.89541403  2.45325375  1.58332684  2.21009906] 
29, [69.12434473  3.40890136  2.55622026  3.76913256], [36.14189751  1.94003186  1.45911747  2.12117878] 
30, [73.07539214  3.66082816  2.65012619  3.68681687], [37.40868343  1.97374151  1.50222487  2.12386294] 
31, [77.06812363  3.86454613  3.01249159  3.51032606], [39.39157744  2.09739161  1.73653312  1.99860671] 
32, [72.65226799  3.51996524  2.71972712  3.70334267], [36.45486502  1.898902    1.52873987  2.08613715] 
33, [68.24035977  3.71464555  2.58248053  3.69546327], [34.35507631  2.08275906  1.48859081  2.01780117] 
34, [69.82840229  3.84796502  2.43584268  3.85616181], [36.21179902  2.14753624  1.39607897  2.15822323] 
35, [78.18101958  3.70415241  2.55369032  4.08645565], [39.36696754  1.94542941  1.46820437  2.30618317] 
36, [77.19218613  3.9492752   2.93586516  3.92743062], [38.71014943  2.11769554  1.69642078  2.20554676] 
37, [73.64600472  3.9761089   2.49573389  3.54433763], [36.55590941  2.24540263  1.40832094  1.96970407] 
38, [68.35247112  3.66652808  2.65938907  3.66409724], [34.55793534  1.99172518  1.52009982  2.07249597] 
39, [70.05546625  3.58959217  2.59807878  3.49788072], [38.72146403  1.98768266  1.48554962  1.8159803 ] 
40, [79.17739108  3.46673601  2.71754368  3.54010576], [39.93882106  1.88002486  1.54882405  2.00597348] 
41, [77.36715332  3.72061116  2.87040876  3.37107798], [39.33116692  2.10141255  1.59793548  1.86785183] 
42, [69.05859421  3.67429053  2.36248023  3.40417702], [35.13740044  1.96443373  1.32946976  1.93919145] 
43, [68.7379649   3.59202064  2.24809166  3.61384191], [36.9639371   1.97524663  1.26171229  2.04236258] 
44, [73.28514432  4.27948841  2.60685946  3.3491283 ], [37.22509424  2.38810984  1.48173839  1.82357758] 
45, [74.33252552  3.72812106  2.51133589  3.32454896], [38.21510641  2.01441198  1.44882048  1.77863215] 
46, [69.94870067  3.58779561  3.18674488  3.47436003], [34.97006287  1.88490427  1.77423215  1.9816877 ] 
47, [72.5377873   3.65016446  2.49208653  3.37541158], [36.51695883  2.0025033   1.39707343  1.92004774] 
48, [71.93223989  3.41468159  2.41427838  3.539896  ], [36.13656666  1.82859598  1.36616771  1.99679849] 
49, [69.8446992   3.84959082  2.37559513  3.65153389], [35.40261082  2.10701459  1.34900093  1.99427718] 
50, [72.08188029  3.53061026  2.56413604  3.4651414 ], [36.87958931  1.89197714  1.43773596  1.88606561] 
51, [77.83773216  3.74805041  3.29633486  3.39530758], [39.04026995  2.03483147  1.89318584  1.87451632] 
52, [68.9991192   3.55055064  2.55409365  3.6468136 ], [35.09469736  1.89089844  1.41042207  2.11093074] 
53, [69.43695424  3.54378317  2.64847977  3.65282241], [37.45065006  1.97981767  1.46353353  2.20408275] 
54, [72.43488875  3.45378802  2.52856994  3.33547585], [36.62828757  1.89603775  1.41036415  1.80971933] 
55, [72.75010444  4.1833438   2.62809299  3.49392592], [36.30606066  2.25339071  1.50142976  1.94510438] 
56, [71.095371    4.01159899  2.63921104  3.37340274], [35.5465377   2.24010455  1.4959557   1.85435674] 
57, [73.07352517  3.42788033  2.62835352  3.40603218], [37.14563167  1.8113202   1.469576    1.92209823] 
58, [69.89990218  3.67376938  2.32245417  3.34186087], [35.03445544  1.94019562  1.3031219   1.81477003] 
59, [69.51132528  3.50485497  2.32210946  3.32584863], [35.27173802  1.85352127  1.29446472  1.87270033] 
60, [71.32420878  3.37284367  2.67793716  3.34242327], [36.44764499  1.85426693  1.49815522  1.84988642] 
61, [71.8918432   3.76297148  2.15987979  3.39720912], [36.58768302  2.04640811  1.22176267  1.8682505 ] 
62, [73.99290799  4.29160697  2.33572763  4.11067554], [37.36783212  2.44035458  1.31631229  2.44693043] 
63, [67.97241228  3.63908583  2.2164686   3.58299651], [34.73339957  1.9816198   1.25006263  1.99436491] 
64, [71.79987183  3.47027293  3.48425014  3.22777546], [35.70205484  1.8452745   2.00135503  1.76975107] 
65, [71.19670159  3.71073525  2.37338902  3.28834361], [35.92616054  1.94741068  1.35003526  1.80959725] 
66, [68.98202321  3.54446158  2.2048509   3.42642931], [35.1864087   1.94225584  1.22982057  1.91827165] 
67, [72.95994668  3.80633782  2.08124754  3.62072523], [36.39215904  2.07934643  1.17756773  2.00960989] 
68, [71.15324198  3.45414302  2.23423913  3.28614321], [35.72216118  1.86871777  1.23632749  1.80357344] 
69, [70.48293651  3.68786794  3.04968664  3.53782567], [36.62637651  1.95918089  1.75284749  2.06140674] 
70, [72.92605294  3.82494352  2.24762081  3.40216345], [37.34653376  2.08006129  1.27155955  1.91061532] 
71, [72.23811854  3.47301889  2.15833129  3.44545345], [36.88276834  1.83729451  1.20893273  1.92017039] 
72, [69.80739125  3.74000702  2.31857474  3.38422575], [35.16304121  2.00648521  1.30244179  1.82917672] 
73, [70.50121047  3.65583571  2.4042127   3.26698616], [35.62067698  1.9556056   1.34834425  1.7923884 ] 
74, [70.77749664  3.65703513  2.31574813  3.39541095], [35.5728971   1.97966813  1.2846029   1.8822119 ] 
75, [70.72133057  3.49396909  2.11864268  3.3644952 ], [35.72370942  1.86369542  1.18136983  1.8853953 ] 
76, [69.30332649  3.42056118  2.18474962  3.29750302], [35.16429278  1.84555936  1.22045559  1.80523223] 
77, [71.90655082  3.38196267  2.23994176  3.22700426], [36.40129528  1.84732829  1.24094111  1.81713042] 
78, [70.87220526  3.58067109  2.39181     3.40225737], [35.87104687  1.92237718  1.34411281  1.8596215 ] 
79, [70.48967024  3.42047218  2.11493279  3.23550108], [35.75688861  1.80496581  1.17126015  1.76446964] 
80, [69.76322353  3.42610734  2.14118694  3.17859209], [35.26790935  1.88951708  1.19529522  1.75449209] 
81, [72.84849189  3.79236133  2.37329893  3.19713795], [36.19235431  2.08215001  1.32869281  1.73437964] 
82, [72.37351476  3.87186024  2.47587182  3.54062686], [35.86980263  2.05478937  1.39189488  1.97939422] 
83, [70.13419738  3.56129899  2.56807292  3.31195569], [35.18578655  1.89360761  1.44185793  1.8294539 ] 
84, [68.26454426  3.6191299   2.44705469  3.31814262], [34.47476527  1.96592049  1.3621493   1.83626594] 
85, [69.85016506  3.49836782  2.45248163  3.40859291], [35.34852649  1.90828189  1.38759093  1.86598774] 
86, [70.82607414  3.91220323  2.21089065  3.21204887], [34.94796698  2.20794349  1.23994417  1.7233599 ] 
