Epoch: [RMSE Score] [CRPS Score]
1, [80.7469683  15.50144595 12.51631735 10.77423331], [44.84280022  9.13798243  7.34935066  6.32370808] 
2, [81.08122893 15.28131025 12.29037314 10.5992833 ], [45.60550306  9.22268819  7.32269218  6.44330086] 
3, [79.60462502 13.2795373  11.36460561  9.8597144 ], [44.12397317  7.68034003  6.63914757  5.79478297] 
4, [79.03200007  6.51122475  6.37593562  5.89533826], [43.22569199  3.83451356  3.66266904  3.49144223] 
5, [74.58491196  5.94438185  5.35699576  4.08286146], [38.60240676  3.25468882  2.97949333  2.26599383] 
6, [73.86125412  5.0885416   4.5509408   4.55807834], [39.03724011  2.96725926  2.74089582  2.78147918] 
7, [68.76977275  4.82279679  4.09422654  4.2720953 ], [35.26155066  2.70878505  2.39605562  2.44132038] 
8, [66.9670336   6.19030772  4.04915747  4.78022888], [35.46592991  3.40196962  2.37802816  2.70197872] 
9, [64.11591203  5.22730871  4.02941792  4.25596252], [31.79777455  2.98596862  2.2771288   2.39770393] 
10, [65.62880957  5.13850047  4.26587035  3.46264146], [34.73049145  2.84779492  2.43518253  2.02542433] 
11, [64.48727006  5.19769615  3.91471284  3.33298433], [34.44600261  2.87706508  2.35184132  1.94394702] 
12, [58.80227149  4.57447811  3.51576046  4.31063562], [28.4823731   2.50141964  2.04120888  2.3574093 ] 
13, [65.58124629  4.69956558  4.02720212  3.81500306], [35.63408195  2.61263262  2.3135526   2.15178604] 
14, [62.5268006   4.74985259  3.76329974  3.98233425], [30.79288549  2.64451517  2.15857839  2.18084563] 
15, [62.96413657  4.83218189  3.4915986   3.62166264], [33.48810032  2.75367571  2.01884736  2.04662987] 
16, [57.69180336  4.51275281  3.76426858  3.98485085], [28.80243539  2.50440361  2.16519631  2.24429944] 
17, [58.35728095  4.4628502   3.60589097  3.7414328 ], [30.19630309  2.5148758   2.07433617  2.05852074] 
18, [58.0907945   4.32971968  3.26728867  3.14347824], [29.87619692  2.42214131  1.85738675  1.7361147 ] 
19, [60.77651592  4.34304429  3.3225054   3.33607177], [32.35387296  2.38633101  1.91990218  1.92776262] 
20, [58.33258489  4.24424073  3.52475329  3.21895288], [29.16342628  2.34090418  1.99901765  1.76607909] 
21, [56.59799219  4.12748737  3.32541456  3.17156495], [28.50254051  2.39352126  1.91414507  1.79120602] 
22, [59.35342006  4.68129222  3.30476164  3.0944948 ], [31.33792477  2.51697068  1.90114534  1.71074281] 
23, [55.50285394  4.33411759  3.22500658  3.71462923], [27.96414799  2.45946597  1.84380959  2.08272437] 
24, [57.62031012  3.98674441  3.3703841   2.96259   ], [30.4496961   2.21830326  1.98973175  1.6505858 ] 
25, [56.61806663  3.97244023  3.04603859  3.04357984], [28.50393252  2.16628593  1.74520987  1.66783353] 
26, [57.6287881   4.05201942  3.03050671  3.12320467], [29.75705535  2.22768306  1.78127539  1.7412007 ] 
27, [60.28891333  3.86155381  3.17713601  3.08847887], [31.691758    2.12891129  1.84199381  1.69137201] 
28, [56.67365908  4.06339101  3.03818354  3.01758654], [28.52149141  2.19173589  1.73594982  1.70353985] 
29, [57.37261498  3.98678594  3.13676923  3.08618772], [28.23499446  2.14475866  1.80135591  1.75242077] 
30, [55.9640837   4.2087521   3.27824581  2.90598974], [29.22875591  2.2562141   1.89213353  1.62184404] 
31, [56.09821179  4.05740719  2.77603848  3.05952279], [27.53860431  2.24522412  1.58543932  1.69749116] 
32, [57.36991959  4.44898539  2.85214281  2.98580377], [30.08512503  2.46210895  1.61962447  1.67311556] 
33, [59.25614606  4.137646    3.1588102   3.7645229 ], [29.51088946  2.22303802  1.83733949  2.08440652] 
34, [56.53163924  4.05106656  2.87726089  3.06472897], [28.74195775  2.18738286  1.63908446  1.7173382 ] 
35, [55.23771007  4.16219505  2.67604246  3.0066678 ], [27.51701705  2.3124834   1.51336512  1.7054524 ] 
36, [57.13495959  3.94066889  2.9411216   2.90126199], [29.33392256  2.13003877  1.74535419  1.59350422] 
37, [57.33095103  3.97244462  3.17422155  3.01708934], [29.94198125  2.20926563  1.81489029  1.72522411] 
38, [58.27257017  3.98117627  2.93834938  3.03395451], [31.51183247  2.12198796  1.6636706   1.75768932] 
39, [54.00180524  3.91669251  3.2721295   2.92457445], [26.75027518  2.12529301  1.89471731  1.62740361] 
40, [55.59579375  3.84137491  2.76682697  2.96182263], [27.88496334  2.15441659  1.57157341  1.66741616] 
41, [57.54968698  3.79138098  2.59879923  2.77778024], [30.3486341   2.15946161  1.46932233  1.55346871] 
42, [55.08811236  3.91533736  2.79919467  2.767418  ], [28.92178234  2.20069246  1.57543062  1.60747489] 
43, [55.17437968  4.34087881  3.15251503  2.88378487], [27.32861652  2.34673176  1.80769828  1.6680242 ] 
44, [54.62451759  3.96944289  2.53990149  3.24758584], [28.2494176   2.16807834  1.44086092  1.95351168] 
45, [53.61783047  4.1298817   3.03989776  2.76455776], [27.38974048  2.35007177  1.75959058  1.55068418] 
46, [56.47478048  4.0055555   2.92904241  2.85294277], [29.13542107  2.23366481  1.68599325  1.56880907] 
47, [56.415028    4.01912077  2.87121959  2.85477105], [29.33572624  2.23104945  1.63574034  1.63455521] 
48, [55.07890539  4.16385877  2.66649431  2.9638223 ], [28.97600889  2.26553847  1.5277844   1.72430647] 
49, [54.86766437  3.79329806  2.81230284  2.98699271], [26.49198438  2.10549936  1.58227785  1.6579147 ] 
50, [54.60105396  3.80468416  3.40266702  2.89180672], [27.96836615  2.09839709  1.96008833  1.65499811] 
51, [57.39980551  4.1353593   2.99896368  2.96623236], [29.56009198  2.32565967  1.71389081  1.69955848] 
52, [53.38516407  4.14307058  2.67523224  2.82919341], [26.96487893  2.24991814  1.52379706  1.62673888] 
53, [54.09228584  4.12926707  3.01066118  2.90756852], [27.99273148  2.24651947  1.76753537  1.65893485] 
54, [54.67608013  4.04012222  2.76355147  2.80949228], [27.74869837  2.21080065  1.56007618  1.62477208] 
55, [53.8438387   3.77020935  2.50986689  2.82718522], [27.07028781  2.05932731  1.41054784  1.55988646] 
56, [54.85553787  3.82278863  2.58316869  2.74415353], [28.20883445  2.13284447  1.45629822  1.55435739] 
57, [53.05828724  4.02762117  3.33519469  2.95470537], [27.41224106  2.19379837  1.92884293  1.68158227] 
58, [54.30619391  4.06155674  2.68595761  3.27443943], [26.81214938  2.21764471  1.52515464  1.81330742] 
59, [54.74666419  3.97233279  2.77675288  3.03158371], [28.09639056  2.17063737  1.56233457  1.73888177] 
60, [53.18404572  3.7991594   2.59480082  2.84384865], [26.59422097  2.13017015  1.45877269  1.59404201] 
61, [54.09658067  3.8923982   2.50164675  2.7804236 ], [28.03040779  2.24884314  1.42589004  1.62243247] 
62, [52.94678932  3.86909837  2.44534481  2.91239257], [26.65614015  2.19346556  1.38548752  1.72801049] 
63, [53.09122003  3.99045346  2.85219836  2.84410956], [26.36222917  2.196808    1.61986252  1.64313202] 
64, [55.90928221  3.96747833  2.95521987  2.84170213], [29.23916284  2.15449053  1.69182789  1.67589949] 
65, [51.96661262  4.10699917  2.50012599  3.20657755], [26.78783054  2.27569097  1.3982367   1.93393556] 
66, [53.27554839  4.20620426  2.56377972  2.92479187], [26.57203237  2.3572784   1.45260182  1.69264813] 
67, [56.07848248  3.69810421  2.4684111   2.93080675], [28.76084785  2.02863749  1.39811624  1.72501448] 
68, [52.18194914  4.10553034  2.66842353  2.83672222], [26.99286937  2.23965664  1.56203887  1.62579256] 
69, [51.28067053  3.94473605  2.83928338  2.66409904], [25.79467984  2.1583948   1.62197764  1.53468035] 
70, [55.70190093  4.08817717  3.04128252  2.89334898], [29.10067684  2.30422753  1.78219241  1.7515943 ] 
71, [53.6688698   3.99150803  2.79999554  2.88365364], [27.32008068  2.25185718  1.60789562  1.66244622] 
72, [53.15668352  3.96738875  2.40951048  2.81362926], [26.75804229  2.1976412   1.34528134  1.62904715] 
73, [54.376771    3.97756077  2.40797553  2.83137919], [28.46576105  2.19350853  1.35530494  1.63509906] 
74, [52.54127875  3.70587823  2.56798966  2.80590038], [26.82194995  2.08020199  1.44399212  1.61982378] 
75, [53.37217893  3.85618967  2.56238054  2.72049672], [26.9174513   2.10022504  1.46997564  1.5354411 ] 
76, [54.33431847  3.82118895  2.66026106  2.76253642], [27.2415677   2.0779854   1.51071381  1.56125949] 
77, [53.63714805  3.9235995   2.70121866  2.89158355], [27.76982358  2.11473215  1.56452532  1.65754782] 
78, [53.92948926  4.52906627  2.61761869  2.84484934], [26.23787849  2.65419484  1.5047237   1.62215257] 
79, [54.62881126  4.06224728  2.8449404   2.77954291], [28.21369279  2.2689545   1.62072699  1.59929808] 
80, [54.04459032  3.80739332  2.69035803  2.80033251], [27.85392867  2.10110041  1.56119348  1.67047304] 
81, [53.41665522  3.85249568  2.45433852  2.87040325], [26.73068298  2.18061581  1.39623617  1.6551408 ] 
82, [52.86627988  3.71787337  2.36385668  2.88172511], [26.45441399  2.05771376  1.34119347  1.71212534] 
83, [55.69609401  3.8760997   2.43313063  2.8849329 ], [27.56179366  2.12805342  1.38288315  1.60572074] 
84, [52.94020841  4.42139972  2.66011074  2.76106191], [26.36431817  2.50031932  1.50379881  1.5114483 ] 
85, [55.86425376  3.89803399  2.65551276  2.89822001], [29.49723787  2.09173304  1.54450183  1.61249429] 
86, [54.31138561  3.82168039  2.58312841  2.69758471], [27.3137669   2.10823501  1.46023837  1.54886917] 
87, [53.71894668  3.85975804  2.3724328   2.80056316], [26.81277011  2.18001389  1.3529619   1.6937478 ] 
88, [54.90341463  3.72133688  2.28694344  2.57231967], [26.66510984  2.01112025  1.29239702  1.45782904] 
89, [54.73656179  3.75822365  2.7080181   2.62342471], [26.97980033  2.05062412  1.53588329  1.47695359] 
90, [54.45961967  3.77745407  2.44090395  2.73144668], [27.42775409  2.05589557  1.37344974  1.54283607] 
91, [53.71761013  3.79676907  2.4907035   2.73621162], [27.52172266  2.10112733  1.40923919  1.58225044] 
92, [53.88306747  3.83335005  2.32615043  2.7437676 ], [26.35601962  2.12041492  1.30791816  1.63232111] 
93, [53.51930089  3.72184247  2.30959665  2.65781835], [27.42298104  2.07200668  1.29715877  1.55089402] 
94, [57.2889343   3.84142669  2.8997546   2.90377718], [28.25202985  2.09670032  1.65686755  1.66719123] 
95, [54.40478554  3.80947859  2.35562277  2.81031076], [25.96554171  2.0488375   1.33310766  1.56396217] 
96, [54.97049069  3.78548224  2.60318128  2.74608273], [27.81584647  2.07204612  1.44892279  1.56134045] 
97, [52.8692384   3.63590131  2.44140959  2.77189304], [26.32009574  2.05180451  1.37087023  1.58966161] 
98, [53.54496613  3.84307101  2.34970296  2.80846453], [27.36273685  2.1754402   1.32964002  1.6477869 ] 
99, [53.52161426  3.89719093  2.37743741  2.75856543], [27.01429063  2.23980024  1.36539483  1.64299055] 
100, [55.67141709  3.99730635  2.57063028  2.70426654], [27.6819816   2.21019578  1.49172099  1.61320287] 
